Idx,kind_of_L1,kind_of_L2,num_of_logins,between_early,between_late
3,4,6,26,67,4
5,6,5,11,14,1
8,7,7,125,12,0
12,8,9,199,328,0
16,4,4,15,9,1
17,4,4,11,9,0
18,4,5,34,5,0
20,4,4,16,5,0
21,5,6,14,4,0
23,6,5,67,82,0
29,4,5,19,4,0
31,4,4,10,8,0
33,3,6,46,774,0
35,4,4,20,15,1
36,6,7,22,4,0
37,8,6,36,171,0
41,8,5,29,9,0
43,4,4,33,6,0
48,8,7,61,128,0
51,4,6,22,7,0
57,4,5,13,3,0
62,4,5,34,39,0
67,4,5,18,9,0
68,6,5,32,67,1
71,7,6,43,92,0
73,4,5,19,3,0
75,6,6,27,148,0
80,7,9,145,4,0
81,4,5,12,6,3
82,5,4,28,3,0
83,4,5,14,6,2
86,6,6,30,12,0
88,6,6,54,666,1
97,8,8,54,15,0
109,5,5,33,433,0
115,4,5,12,6,0
118,4,5,13,7,1
123,4,5,26,62,2
125,4,5,9,7,1
133,7,7,43,846,0
137,6,8,17,7,1
143,4,4,28,5,0
144,6,6,13,6,1
146,4,5,17,5,0
147,4,5,14,5,0
149,6,6,23,8,1
152,4,5,9,7,0
156,4,5,8,8,1
157,5,6,68,7,0
160,6,6,35,55,0
161,4,5,8,13,4
165,8,6,34,7,0
167,6,6,12,34,2
170,6,6,47,57,0
172,5,6,30,408,0
173,4,5,26,610,0
176,4,6,12,12,0
177,4,5,20,7,0
182,4,7,12,6,0
191,6,7,36,14,0
196,4,5,21,155,0
203,4,5,9,6,0
214,7,6,17,161,0
217,6,6,36,9,0
218,4,6,24,6,0
225,4,6,18,8,0
227,4,5,39,55,0
232,4,6,21,34,0
236,4,6,34,12,0
238,4,5,26,11,0
240,4,5,15,7,2
242,6,6,52,4,0
245,6,7,41,6,0
246,4,5,11,7,0
250,4,6,16,5,0
251,4,6,52,6,0
253,4,5,28,6,0
254,4,5,19,6,2
255,6,6,101,11,0
258,5,3,41,358,1
260,6,7,37,5,0
261,4,4,21,28,0
262,7,8,43,596,0
266,6,6,33,28,0
273,4,6,34,7,2
274,5,5,25,8,0
276,4,6,18,7,0
277,6,4,156,42,0
282,10,7,47,52,0
290,6,4,54,518,0
292,6,6,33,793,0
293,8,8,61,29,0
299,4,6,19,4,0
300,4,5,23,5,0
303,4,5,11,7,5
304,4,5,23,6,2
308,6,7,28,3,0
311,6,5,20,4,0
313,5,6,44,538,1
315,4,6,20,6,0
316,6,4,27,130,0
318,6,7,42,275,0
319,4,6,19,4,0
321,4,5,8,5,1
322,9,6,30,26,0
323,4,5,10,33,1
324,4,5,12,5,1
325,6,10,55,5,0
331,4,6,10,4,4
332,5,6,13,5,0
333,8,7,55,76,0
341,7,6,50,299,0
342,4,4,53,23,0
353,5,6,23,325,0
361,8,6,395,99,0
362,7,7,28,8,1
365,4,5,16,10,0
369,4,6,31,9,0
370,4,5,102,30,0
375,6,5,23,13,0
376,6,7,24,8,0
377,4,6,33,6,0
384,7,7,31,3,0
385,5,5,8,8,8
389,6,9,72,24,0
390,5,5,66,16,0
391,4,5,30,7,0
392,4,4,11,21,0
395,6,7,13,6,0
397,4,5,11,4,3
398,5,6,33,10,0
406,4,6,16,10,0
407,4,4,22,12,0
413,4,4,12,14,0
416,6,6,16,5,0
419,4,6,11,4,0
420,6,6,58,298,0
426,4,5,25,5,1
427,4,4,20,3,0
429,4,5,8,2,0
437,6,5,29,17,0
439,4,5,18,5,1
446,7,7,42,5,0
447,8,8,152,12,0
448,4,5,9,7,2
458,4,4,17,36,0
460,5,6,37,9,2
463,5,5,20,4,0
469,4,4,9,60,1
470,4,5,13,2,0
473,6,7,14,8,6
478,4,4,25,17,0
485,7,6,64,8,0
493,4,5,21,7,0
496,4,4,17,306,0
497,4,6,28,10,0
499,4,6,10,6,1
501,4,5,46,49,0
502,6,4,54,172,0
503,4,5,12,7,4
506,6,6,46,7,0
512,4,5,35,7,0
513,4,5,17,4,0
515,4,5,63,8,0
516,4,5,22,6,0
524,7,7,28,6,0
525,9,7,35,8,0
526,4,6,25,6,0
527,7,6,53,489,0
528,6,4,28,38,0
529,4,5,13,6,6
536,4,6,21,43,0
538,4,5,20,76,0
539,7,6,35,8,1
545,7,6,44,218,0
547,7,7,52,31,0
548,5,5,7,3,3
549,5,5,29,36,0
552,4,5,12,8,0
554,4,5,52,88,0
555,4,5,13,8,3
561,6,7,41,71,0
565,9,7,53,170,0
569,6,6,77,803,0
570,4,6,21,5,1
572,7,6,45,6,0
573,6,7,37,6,0
578,4,4,16,31,0
580,5,5,23,20,0
583,6,7,94,860,0
589,6,9,99,165,0
593,4,4,23,16,0
594,6,5,31,12,0
595,5,6,28,431,0
597,5,6,28,590,3
600,4,5,14,10,5
601,4,6,85,58,0
602,4,5,7,8,7
603,6,4,38,79,0
609,6,6,36,23,0
611,4,6,14,13,2
612,4,5,10,12,0
615,4,5,24,8,0
618,4,9,35,4,0
619,4,4,23,45,0
